Country,Exposed_Total,Exposed_Under15,Exposed_15_64,Exposed_65plus,Regional_Total,Regional_Under15,Regional_15_64,Regional_65plus,Pct_Total,Pct_Under15,Pct_15_64,Pct_65plus
IT,127711,16340,81512,29859,58420557,7420275,37094332,13905951,0.22,0.22,0.22,0.21
PT,40753,4084,24285,12384,10257175,1319767,6533855,2403548,0.4,0.31,0.37,0.52
EL,39726,5561,24394,9858,10237698,1383907,6521432,2331723,0.39,0.4,0.37,0.42
ES,26153,2555,16191,7420,46828861,6644527,30997903,9187087,0.06,0.04,0.05,0.08
FR,13068,2245,8051,2772,65189893,11498171,40422221,13249760,0.02,0.02,0.02,0.02
RO,12092,1688,7474,2930,19053261,3073357,12253183,3726727,0.06,0.05,0.06,0.08
HR,3095,461,1881,717,3786907,542153,2400585,844895,0.08,0.09,0.08,0.08
BG,2703,847,1454,402,6448818,911975,4023134,1513709,0.04,0.09,0.04,0.03
HU,1161,236,734,196,9607928,1391799,6258620,1937913,0.01,0.02,0.01,0.01
CY,1055,107,678,261,917722,141916,617624,157998,0.11,0.08,0.11,0.17
SI,584,71,358,150,2099333,266555,1279103,363780,0.03,0.03,0.03,0.04
NO,552,123,360,69,5100597,875194,3318840,906566,0.01,0.01,0.01,0.01
IE,373,53,230,90,5074148,991377,3317947,764824,0.01,0.01,0.01,0.01
CZ,189,23,128,38,10520290,1511157,6581574,1927460,0.0,0.0,0.0,0.0
DE,173,33,108,39,81907318,11115930,52184735,18085967,0.0,0.0,0.0,0.0
PL,105,18,62,25,37011985,5532353,23988991,6818545,0.0,0.0,0.0,0.0
CH,32,4,20,9,8739677,1319853,5758098,1661617,0.0,0.0,0.0,0.0
BE,11,0,9,2,11521808,1932299,7369830,2209673,0.0,0.0,0.0,0.0
SE,9,0,5,0,10303772,1819132,6403717,2081622,0.0,0.0,0.0,0.0
AT,7,0,7,0,8966963,1261167,5898190,1721909,0.0,0.0,0.0,0.0
FI,6,0,3,0,5416403,846742,3336130,1234825,0.0,0.0,0.0,0.0
AL,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
LT,0,0,0,0,2806312,346515,1690608,449006,0.0,0.0,0.0,0.0
IS,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
EE,0,0,0,0,1319614,195935,803058,240376,0.0,0.0,0.0,0.0
DK,0,0,0,0,5741291,938272,3652524,1150502,0.0,0.0,0.0,0.0
LI,0,0,0,0,37328,5420,24988,6919,0.0,0.0,0.0,0.0
LU,0,0,0,0,641696,51602,413938,33850,0.0,0.0,0.0,0.0
LV,0,0,0,0,1887364,242413,992025,280326,0.0,0.0,0.0,0.0
MT,0,0,0,0,497331,65538,338639,93154,0.0,0.0,0.0,0.0
NL,0,0,0,0,17452890,2708610,11292647,3450711,0.0,0.0,0.0,0.0
ME,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
MK,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
RS,0,0,0,0,1178,173,757,251,0.0,0.0,0.0,0.0
SK,0,0,0,0,5451121,857663,3653834,909579,0.0,0.0,0.0,0.0
TR,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
UK,0,0,0,0,981,174,621,186,0.0,0.0,0.0,0.0
